<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAV,20210827,17.9,19.5,17.4,19.4,829070
ACM,20210827,2.6,2.7,2.6,2.7,1066224
ALT,20210827,14.4,14.4,14.4,14.4,130
AME,20210827,8.4,8.4,8.3,8.4,8000
AMV,20210827,10.6,11.9,10.4,11.9,8146320
API,20210827,20.1,20.8,19.5,20.6,47105
APP,20210827,7.4,7.4,7.3,7.3,604
APS,20210827,14.2,14.5,13.8,14.5,1905140
ART,20210827,9.4,9.5,9,9.4,4231031
ASG,20210827,26.9,27.5,26.7,27.3,23610
BAX,20210827,70.1,71.1,70,71,3700
BBC,20210827,59.3,62,59.2,62,2401
BCC,20210827,15.9,17.6,15.8,17.6,4710306
BCF,20210827,41.6,41.6,41.5,41.5,4100
BED,20210827,46,46,46,46,1000
BII,20210827,13.9,14,13.4,14,5075126
BLF,20210827,2.9,3,2.9,3,17600
BNA,20210827,67.5,67.9,66,66,214749
BPC,20210827,10.5,10.6,10.5,10.6,900
BSC,20210827,17.2,17.2,17.2,17.2,203
BSI,20210827,26.8,27.8,26,27.8,1747197
BST,20210827,14.6,17.7,14.5,17.7,1400
BTS,20210827,6.8,7.3,6.6,7.2,274825
BTW,20210827,33,33,33,33,500
BVS,20210827,32.5,33.6,31.5,33.4,915613
C69,20210827,10.6,11.5,10.5,11.5,192145
C92,20210827,5,5,4.5,4.6,21100
CAG,20210827,25.1,26.5,25.1,25.1,39200
CAN,20210827,35,35,35,35,100
CAP,20210827,65.8,65.9,65,65.6,8000
CAV,20210827,63.5,63.5,61.5,63,848
CDN,20210827,33,34,29.6,31.9,98700
CEO,20210827,8.5,9,8.4,9,2800321
CET,20210827,5.7,5.8,5.6,5.8,14900
CIA,20210827,11.2,11.5,11.2,11.5,2800
CLH,20210827,22.5,22.5,22.5,22.5,500
CMS,20210827,3.9,4.2,3.9,4.2,22100
CPC,20210827,18.5,19.9,17.5,19.6,9300
CSC,20210827,68,68,66.5,68,110954
CTC,20210827,4.9,4.9,4.6,4.9,233810
CTP,20210827,4.4,4.5,4.3,4.5,10430
CTX,20210827,7.4,7.4,7.4,7.4,500
CVN,20210827,8,8.1,8,8.1,80837
D11,20210827,23.9,24,23.9,24,7200
DAD,20210827,27.8,28.5,25.2,26,70300
DAE,20210827,20.1,21.5,20.1,21.5,200
DC2,20210827,11.7,12,11.7,12,13400
DDG,20210827,38.1,38.2,37.3,37.6,127800
DHT,20210827,47.2,49.5,47.2,49.3,99120
DIH,20210827,22,22.1,21.6,22,17300
DL1,20210827,7.9,8.2,7.6,8.2,2769166
DNC,20210827,57.1,57.1,57.1,57.1,100
DNM,20210827,33.4,35.6,33.4,35.6,45810
DNP,20210827,20.2,20.2,19.6,19.6,400
DP3,20210827,113,115,104.8,105.5,5600
DS3,20210827,5.5,5.6,5.4,5.6,50600
DST,20210827,3.9,4,3.8,3.9,327222
DTD,20210827,31.9,32.5,31.4,32.5,140647
DVG,20210827,9.6,9.7,9.2,9.7,121300
DXP,20210827,21.8,22.5,21.4,22.2,1284850
DXS,20210827,28.5,28.6,27.5,28.5,769617
DZM,20210827,4.4,4.5,4.4,4.5,10500
EBS,20210827,9.2,9.2,9.2,9.2,100
EID,20210827,21.4,21.4,19.5,20,145034
EVS,20210827,36,36.5,34.2,36.3,360009
FID,20210827,3.7,3.7,3.5,3.6,180200
GIC,20210827,21.6,21.6,20.6,21.6,50800
GKM,20210827,18.3,20.1,18.3,20.1,1348551
GLT,20210827,31,34.1,31,34.1,1400
GMA,20210827,60.5,61,60.5,61,200
GMX,20210827,20.3,20.3,20.3,20.3,5100
HAD,20210827,16.2,16.5,16.2,16.5,2100
HAP,20210827,14.6,15,14.2,14.4,574250
HAT,20210827,19,19,18.1,18.1,1100
HBS,20210827,9.6,9.7,8.6,9.7,463331
HCC,20210827,10.3,10.4,10.3,10.4,7800
HDA,20210827,20.9,21.8,19.1,21.8,301600
HEV,20210827,15.9,15.9,14.2,14.2,200
HHG,20210827,2.8,2.9,2.8,2.9,145700
HKT,20210827,6.1,6.1,5.9,6,4300
HLC,20210827,10.6,11.3,10.6,11.3,1500
HLD,20210827,36.5,36.9,36,36.9,18400
HMH,20210827,15,15.7,15,15.5,1200
HOM,20210827,5.4,5.9,5.3,5.9,991900
HTP,20210827,24.3,24.6,23.7,24.4,63400
HUT,20210827,8.6,8.8,8.3,8.8,1745696
ICG,20210827,7.3,7.5,7.2,7.5,5400
IDC,20210827,36.5,38.3,36,38.1,4245522
IDJ,20210827,21.2,23,20.6,22.6,1707164
IDV,20210827,67,67.6,66.5,66.9,21010
INC,20210827,10.5,10.5,10.5,10.5,4100
INN,20210827,35.4,35.4,34.6,35.4,8600
ITQ,20210827,5.9,6,5.7,6,495600
IVS,20210827,11,11,10.5,11,127600
KDM,20210827,7.6,8.2,7.1,8.2,34600
KHG,20210827,14.3,14.4,13.6,14.1,1029400
KHS,20210827,22.6,22.6,22.5,22.5,2500
KKC,20210827,26.2,26.2,24.1,24.1,12000
KLF,20210827,3.8,3.9,3.7,3.8,3046014
KSD,20210827,3.5,3.5,3.4,3.5,3000
KSQ,20210827,4.5,4.6,4.5,4.6,891055
KTS,20210827,21,21,18.8,20.8,7100
KTT,20210827,6.1,6.1,6,6.1,1900
KVC,20210827,3.4,3.5,3.3,3.4,709105
L14,20210827,82.9,83.4,82.3,83,53316
L18,20210827,27.5,29.8,27.5,29,40156
L40,20210827,36.3,36.3,36.3,36.3,300
L43,20210827,3.8,3.8,3.8,3.8,300
L62,20210827,5.4,5.4,5.4,5.4,20
LAF,20210827,15.2,15.2,15.2,15.2,400
LAS,20210827,16.8,17.4,16.4,17.3,1594649
LCS,20210827,2.8,2.9,2.8,2.9,25212
LDP,20210827,13.1,14.2,13.1,14,20814
LHC,20210827,88,88,82,82,4800
LIG,20210827,7.6,8.2,7.6,8.1,1461900
LM7,20210827,4.4,4.4,4.4,4.4,100
LUT,20210827,3.9,4.1,3.8,4.1,41500
MAC,20210827,6.7,6.8,6.3,6.6,93105
MBG,20210827,6.6,7.1,6.5,7,1383400
MBS,20210827,34.1,34.6,32,34.6,2919375
MCF,20210827,8.6,8.7,8.4,8.7,52100
MCO,20210827,3.1,3.1,3,3.1,14300
MDC,20210827,10.6,10.6,10.6,10.6,100
MED,20210827,37.1,37.1,37.1,37.1,1800
MEL,20210827,14.9,14.9,14.9,14.9,3
MHL,20210827,3.6,3.6,3.4,3.5,41500
MIM,20210827,6.8,7.5,6.8,7.5,6500
MST,20210827,15.6,16.5,15.5,16.3,1597363
MVB,20210827,25.2,25.3,25.2,25.2,500
NAG,20210827,7,7,6.9,7,2670
NAP,20210827,12,12,11,12,700
NBC,20210827,16.5,17.8,16.5,17.8,693728
NBP,20210827,12.4,13,12.3,12.9,12300
NDN,20210827,20.8,21.7,20.4,21.7,1523890
NDX,20210827,8,8.1,8,8.1,3500
NET,20210827,63.5,63.5,63,63,1900
NFC,20210827,13.6,13.6,12.5,12.5,400
NRC,20210827,19.5,19.8,18.8,19.5,351601
NSC,20210827,75.3,77.9,75.3,77.9,21672
NSH,20210827,10.2,10.5,9.7,10.3,360869
NST,20210827,7.4,7.5,7.4,7.5,3800
NTH,20210827,39.9,40,39.9,40,200
NTP,20210827,50.8,51,49.8,50.8,17316
NVB,20210827,28.5,30,28.3,28.6,1682840
OCH,20210827,7.1,7.7,7.1,7.6,27700
ONE,20210827,5.8,6,5.8,5.9,15500
PAN,20210827,27.6,28.5,27.1,28.2,2080866
PCE,20210827,16.9,17,16.7,17,7020
PCG,20210827,6,6,5.9,6,7300
PCT,20210827,6.1,6.1,6.1,6.1,11700
PDB,20210827,9,9,8.7,8.8,5700
PEN,20210827,7.5,7.5,7.5,7.5,200
PGN,20210827,15.7,15.7,15.7,15.7,10020
PGS,20210827,19.7,19.7,19.5,19.5,7000
PGT,20210827,6,6,5.8,6,233830
PHP,20210827,30.9,32,30.8,31.2,381270
PIA,20210827,25.2,25.2,25.2,25.2,100
PIC,20210827,9.3,9.3,9.2,9.3,7400
PJC,20210827,20.3,20.3,20.3,20.3,300
PLC,20210827,34.2,37.8,33.9,37.8,2471743
PMB,20210827,13.3,14,13.1,13.5,49200
PMC,20210827,70,70,65.9,66,2700
PMS,20210827,19.1,19.1,19.1,19.1,400
PPE,20210827,13.1,14.5,13.1,13.4,1800
PPP,20210827,19.1,19.8,17.3,18.9,157816
PPS,20210827,10.4,10.4,10.4,10.4,15001
PRE,20210827,17.2,17.5,17.2,17.5,1500
PSD,20210827,17.5,17.8,17.4,17.8,58000
PSE,20210827,13.1,13.5,12.8,13.2,11000
PSI,20210827,10.8,11.3,10.1,11.3,419688
PSW,20210827,9.9,10.6,9.9,10.6,300
PTS,20210827,9.9,10,9.6,10,35700
PV2,20210827,3.1,3.1,2.9,3.1,404900
PVB,20210827,13.3,13.5,13.3,13.4,72855
PVC,20210827,8.9,9.1,8.7,9,632689
PVG,20210827,8.5,8.8,8.5,8.8,59500
PVI,20210827,42,45,41.7,44.3,209470
PVL,20210827,3.3,3.4,3.3,3.3,351300
PVS,20210827,24.2,24.7,23.6,24.7,7825847
QBS,20210827,2.8,2.9,2.8,2.8,450200
QTC,20210827,15,15,15,15,1300
RCL,20210827,13.8,14.8,13.8,14.8,6235
S55,20210827,36,38.6,36,37,30600
S99,20210827,18.4,19.6,18,19.6,1236624
SAF,20210827,57,57,57,57,300
SCI,20210827,33.8,34.3,32.7,34.3,253700
SD2,20210827,6.5,6.5,6.5,6.5,2816
SD4,20210827,4.6,4.6,4.6,4.6,400
SD5,20210827,9.1,9.4,9.1,9.4,117100
SD6,20210827,3.9,4.1,3.9,4.1,30900
SD9,20210827,7,7.1,6.9,7.1,37800
SDA,20210827,4.4,4.4,4.4,4.4,700
SDG,20210827,38.9,38.9,38.9,38.9,39
SDN,20210827,39.1,39.1,36.1,39.1,509
SDT,20210827,5.1,5.2,5,5.2,21830
SED,20210827,19.8,19.8,19.3,19.3,8100
SFN,20210827,20.9,20.9,20.9,20.9,4500
SGH,20210827,36.8,36.8,36.8,36.8,100
SHB,20210827,28.1,28.1,27.3,27.9,12124011
SHE,20210827,16.2,16.2,15.7,15.7,3600
SHN,20210827,15.7,15.8,15.5,15.6,78900
SHS,20210827,39.2,39.6,37.8,39.6,4700666
SIC,20210827,15.3,15.3,15.3,15.3,150
SJ1,20210827,17.4,17.4,17.4,17.4,150
SJE,20210827,17,17.2,17,17.2,22400
SLS,20210827,152,154.7,150.2,154,14910
SMN,20210827,11.1,11.1,11.1,11.1,100
SMT,20210827,12.4,12.4,12.4,12.4,60174
SPI,20210827,12,12.5,11.4,12.5,263700
SRA,20210827,9.1,9.7,8.9,9.6,970908
SSC,20210827,44.2,47.9,44.2,47.9,2700
SSM,20210827,5.8,5.8,5.8,5.8,1100
STC,20210827,18.5,18.5,18.5,18.5,1200
STP,20210827,8,8.1,8,8.1,5600
SVN,20210827,3.8,3.9,3.8,3.9,13900
SZB,20210827,32.8,33,32.8,33,5900
TA9,20210827,11.8,11.8,11.4,11.4,4200
TC6,20210827,6.9,7.3,6.8,7.3,130381
TDT,20210827,12.9,13.7,12.5,13.5,364778
TFC,20210827,7.4,7.4,7.4,7.4,5000
THB,20210827,10.5,10.6,10.5,10.6,2700
THD,20210827,214.5,215.3,213.4,214.5,484400
THI,20210827,27.5,27.5,27.5,27.5,500
THT,20210827,10.6,10.6,10.1,10.6,143200
TIG,20210827,14.2,14.6,14,14.5,446100
TKC,20210827,8.9,9.2,8.5,9.2,2300
TMB,20210827,15,16,15,16,532
TNG,20210827,31,32.5,30.6,31.8,3376620
TTC,20210827,14,14.2,13.8,14.2,1700
TTH,20210827,3.4,3.6,3.3,3.6,1040310
TTZ,20210827,3.3,3.4,3.3,3.3,69145
TV3,20210827,18.5,18.5,18.5,18.5,20
TV4,20210827,14.6,14.7,14.5,14.6,5800
TVB,20210827,22,23,22,23,1349987
TVC,20210827,15.2,15.8,14.9,15.8,2058998
TVD,20210827,10.1,10.5,9.7,10.3,285050
TXM,20210827,4.7,5,4.6,4.9,3500
UNI,20210827,13,13,13,13,100
V12,20210827,11.7,11.7,11.6,11.6,4800
V21,20210827,7,7.5,7,7.5,600
VC1,20210827,11.5,11.5,11,11.3,23687
VC2,20210827,30,32,30,30.8,48172
VC3,20210827,25.8,27.2,25.8,26.8,143800
VC6,20210827,8.5,8.5,8.5,8.5,1000
VC7,20210827,13.3,13.8,13.1,13.7,87817
VC9,20210827,8.1,8.1,8,8.1,6608
VCC,20210827,15.3,15.8,14.5,15.8,14833
VCS,20210827,120.2,120.2,118,120.2,233034
VE1,20210827,3.9,4,3.8,4,5500
VE3,20210827,7.2,7.3,7.2,7.3,1400
VE4,20210827,34,34.5,34,34.5,5633
VGS,20210827,29,31,27.5,30.5,522675
VHE,20210827,8.2,8.9,8,8.6,580765
VIF,20210827,16,16.2,16,16.2,3100
VIG,20210827,5.7,6.2,5.4,6.2,3462533
VIT,20210827,14.5,14.5,13.6,13.7,20100
VKC,20210827,7.4,7.5,7.4,7.5,8000
VMC,20210827,10.1,10.5,10,10.3,38100
VMS,20210827,12.4,12.4,12.4,12.4,1000
VNC,20210827,32.6,32.6,32.6,32.6,259
VND,20210827,50.7,51,49.1,50.6,9444644
VNF,20210827,14.4,15,14,15,3300
VNR,20210827,24.2,25.6,24.2,24.8,157500
VSA,20210827,24,24.5,23.5,23.6,2602
VSM,20210827,20.9,20.9,20,20,1100
VTC,20210827,11,11,11,11,200
VTJ,20210827,4.8,4.8,4.2,4.6,1800
VTL,20210827,11.3,11.4,11.3,11.4,207
VTV,20210827,6,6.3,6,6.3,7900
WCS,20210827,180,182,180,182,550
WSS,20210827,10,10.7,9.5,10.7,359946
X20,20210827,9.2,9.4,9.2,9.4,300